Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=3ced07bddbe52f0fcc6523e7ecde58a1&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=1&removeItem=&removedItemList=&mergeFilter=&activeTab=MIR&showHide=&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9689358&legendRef=reference&legendPub=published&legendNor=&SERIES_KEY=124.MIR.M.U2.B.A2C.AM.R.A.2250.EUR.N
,MIR.M.U2.B.A2C.AM.R.A.2250.EUR.N
,"Euro area (changing composition), Annualised agreed rate (AAR) / Narrowly defined effective rate (NDER), Credit and other institutions (MFI except MMFs and central banks) reporting sector - Lending for house purchase excluding revolving loans and overdrafts, convenience and extended credit card debt, Total calculated by weighting the volumes with a moving average (defined for cost of borrowing purposes), New business coverage, Households and non-profit institutions serving households (S.14 and S.15) sector, denominated in Euro"
Collection:,Average of observations through period (A)
Period\Unit:,[Percent per annum ]
2023Jan,3.10
2022Dec,2.94
2022Nov,2.89
2022Oct,2.67
2022Sep,2.45
2022Aug,2.26
2022Jul,2.15
2022Jun,1.97
2022May,1.78
2022Apr,1.61
2022Mar,1.47
2022Feb,1.38
2022Jan,1.33
2021Dec,1.31
2021Nov,1.32
2021Oct,1.31
2021Sep,1.30
2021Aug,1.32
2021Jul,1.32
2021Jun,1.32
2021May,1.32
2021Apr,1.31
2021Mar,1.31
2021Feb,1.31
2021Jan,1.33
2020Dec,1.32
2020Nov,1.35
2020Oct,1.36
2020Sep,1.38
2020Aug,1.40
2020Jul,1.40
2020Jun,1.42
2020May,1.42
2020Apr,1.43
2020Mar,1.39
2020Feb,1.41
2020Jan,1.43
2019Dec,1.41
2019Nov,1.47
2019Oct,1.44
2019Sep,1.48
2019Aug,1.56
2019Jul,1.61
2019Jun,1.67
2019May,1.72
2019Apr,1.75
2019Mar,1.78
2019Feb,1.80
2019Jan,1.82
2018Dec,1.80
2018Nov,1.81
2018Oct,1.80
2018Sep,1.79
2018Aug,1.81
2018Jul,1.81
2018Jun,1.82
2018May,1.83
2018Apr,1.83
2018Mar,1.84
2018Feb,1.84
2018Jan,1.84
2017Dec,1.83
2017Nov,1.87
2017Oct,1.88
2017Sep,1.89
2017Aug,1.91
2017Jul,1.88
2017Jun,1.87
2017May,1.87
2017Apr,1.87
2017Mar,1.85
2017Feb,1.85
2017Jan,1.81
2016Dec,1.78
2016Nov,1.79
2016Oct,1.81
2016Sep,1.86
2016Aug,1.90
2016Jul,1.92
2016Jun,1.96
2016May,2.02
2016Apr,2.09
2016Mar,2.11
2016Feb,2.20
2016Jan,2.23
2015Dec,2.22
2015Nov,2.27
2015Oct,2.26
2015Sep,2.25
2015Aug,2.26
2015Jul,2.22
2015Jun,2.18
2015May,2.18
2015Apr,2.24
2015Mar,2.29
2015Feb,2.37
2015Jan,2.40
2014Dec,2.48
2014Nov,2.53
2014Oct,2.60
2014Sep,2.66
2014Aug,2.73
2014Jul,2.78
2014Jun,2.85
2014May,2.91
2014Apr,2.97
2014Mar,3.00
2014Feb,3.04
2014Jan,3.06
2013Dec,3.05
2013Nov,3.07
2013Oct,3.06
2013Sep,3.06
2013Aug,3.03
2013Jul,3.00
2013Jun,2.98
2013May,3.03
2013Apr,3.11
2013Mar,3.13
2013Feb,3.15
2013Jan,3.14
2012Dec,3.17
2012Nov,3.21
2012Oct,3.25
2012Sep,3.30
2012Aug,3.36
2012Jul,3.41
2012Jun,3.48
2012May,3.58
2012Apr,3.64
2012Mar,3.70
2012Feb,3.77
2012Jan,3.78
2011Dec,3.75
2011Nov,3.74
2011Oct,3.75
2011Sep,3.80
2011Aug,3.89
2011Jul,3.86
2011Jun,3.84
2011May,3.83
2011Apr,3.74
2011Mar,3.63
2011Feb,3.55
2011Jan,3.45
2010Dec,3.36
2010Nov,3.34
2010Oct,3.31
2010Sep,3.34
2010Aug,3.40
2010Jul,3.35
2010Jun,3.38
2010May,3.45
2010Apr,3.52
2010Mar,3.54
2010Feb,3.60
2010Jan,3.63
2009Dec,3.65
2009Nov,3.69
2009Oct,3.74
2009Sep,3.77
2009Aug,3.85
2009Jul,3.89
2009Jun,3.95
2009May,3.97
2009Apr,4.08
2009Mar,4.26
2009Feb,4.49
2009Jan,4.78
2008Dec,5.13
2008Nov,5.43
2008Oct,5.54
2008Sep,5.55
2008Aug,5.54
2008Jul,5.43
2008Jun,5.28
2008May,5.18
2008Apr,5.11
2008Mar,5.10
2008Feb,5.15
2008Jan,5.18
2007Dec,5.19
2007Nov,5.18
2007Oct,5.17
2007Sep,5.12
2007Aug,5.08
2007Jul,4.99
2007Jun,4.90
2007May,4.80
2007Apr,4.75
2007Mar,4.70
2007Feb,4.66
2007Jan,4.59
2006Dec,4.52
2006Nov,4.50
2006Oct,4.46
2006Sep,4.41
2006Aug,4.36
2006Jul,4.26
2006Jun,4.18
2006May,4.09
2006Apr,4.02
2006Mar,3.93
2006Feb,3.86
2006Jan,3.80
2005Dec,3.72
2005Nov,3.64
2005Oct,3.61
2005Sep,3.61
2005Aug,3.63
2005Jul,3.64
2005Jun,3.70
2005May,3.77
2005Apr,3.81
2005Mar,3.82
2005Feb,3.85
2005Jan,3.87
2004Dec,3.90
2004Nov,3.98
2004Oct,4.02
2004Sep,4.06
2004Aug,4.07
2004Jul,4.04
2004Jun,4.04
2004May,4.01
2004Apr,4.03
2004Mar,4.11
2004Feb,4.19
2004Jan,4.22
2003Dec,4.22
2003Nov,4.21
2003Oct,4.17
2003Sep,4.16
2003Aug,4.11
2003Jul,4.10
2003Jun,4.24
2003May,4.39
2003Apr,4.47
2003Mar,4.54
2003Feb,4.67
2003Jan,4.81
